year;date;day;month;id_st;lat;lon;farm_ID;inf_presente;dis_sea;dem;cum_max30;cum_avg26;avg_max_7d;avg_min_7d;avg_avg_7d;cum_prec;s_day_frost;s_min_avg;s_mean_avg;s_prec_cum;w_day_frost;w_min_avg;w_mean_avg;w_prec_cum;idr_bal_4;idr_bal_30d;gdd_oli;cum_gdd;doy;perc_inf
2004;38225;26;8;3541;44.20779;9.88383;1711;inf;11140.98242;389.4429626;0;0;24.29135714;18.12194286;21.20665;121.5785;4;6.91733913;10.64505543;314.5473;13;4.388081818;7.21857686;643.2603;-181.7767585;-68.69847488;1982.74475;1030.4161;239;60
2004;38218;19;8;3541;44.20779;9.88383;1711;no;11140.98242;389.4429626;0;0;26.06421429;19.05128571;22.55775;110.6099;4;6.91733913;10.64505543;314.5473;13;4.388081818;7.21857686;643.2603;-170.2410944;-70.56969892;1870.93;946.53135;232;60
2004;38210;11;8;3541;44.20779;9.88383;1711;no;11140.98242;389.4429626;0;0;26.05025714;19.37118571;22.71072143;99.4792;4;6.91733913;10.64505543;314.5473;13;4.388081818;7.21857686;643.2603;-153.7110646;-81.64984312;1729.77575;837.2971;224;60
2004;38204;5;8;3541;44.20779;9.88383;1711;no;11140.98242;389.4429626;0;0;26.29842857;18.77048571;22.53445714;94.587;4;6.91733913;10.64505543;314.5473;13;4.388081818;7.21857686;643.2603;-137.011743;-88.37667196;1623.09145;754.5528;218;60
2004;38197;29;7;3541;44.20779;9.88383;1711;no;11140.98242;389.4429626;0;0;27.06772857;19.432;23.24986429;82.7202;4;6.91733913;10.64505543;314.5473;13;4.388081818;7.21857686;643.2603;-121.1056983;-92.05143479;1500.55035;659.9417;211;60
2004;38190;22;7;3541;44.20779;9.88383;1711;no;11140.98242;389.4429626;0;0;25.965;17.90095714;21.93297857;61.507;4;6.91733913;10.64505543;314.5473;13;4.388081818;7.21857686;643.2603;-113.9156733;-110.7050627;1374.5944;561.91575;204;60
2004;38182;14;7;3541;44.20779;9.88383;1711;no;11140.98242;389.4429626;0;0;23.39834286;16.56064286;19.97949286;61.5001;4;6.91733913;10.64505543;314.5473;13;4.388081818;7.21857686;643.2603;-79.31257318;-89.859309;1236.53445;455.7758;196;60
2004;38172;4;7;3541;44.20779;9.88383;1711;no;11140.98242;389.4429626;0;0;25.21565714;17.94018571;21.57792143;54.161;4;6.91733913;10.64505543;314.5473;13;4.388081818;7.21857686;643.2603;-46.58233011;-81.25424591;1086.13745;345.2788;186;60
2005;38588;24;8;3593;43.98168;10.53845;1721;inf;26962.03516;154.1270294;3.855;0;22.59602857;14.71238571;18.65420714;226.2847;10;5.79505;10.41496739;318.5021;53;1.642333333;5.105248333;283.446;-71.69754715;-20.40574437;1815.62225;919.0610502;236;32
2005;38581;17;8;3593;43.98168;10.53845;1721;inf;26962.03516;154.1270294;3.855;0;23.35074286;15.51775714;19.43425;181.7848;10;5.79505;10.41496739;318.5021;53;1.642333333;5.105248333;283.446;-93.4875256;-58.25331071;1721.72375;853.0925502;229;32
2005;38575;11;8;3593;43.98168;10.53845;1721;inf;26962.03516;154.1270294;3.855;0;24.13212857;14.85848571;19.49530714;173.5634;10;5.79505;10.41496739;318.5021;53;1.642333333;5.105248333;283.446;-79.85832797;-70.82733099;1636.3259;791.6347002;223;32
2005;38567;3;8;3593;43.98168;10.53845;1721;inf;26962.03516;154.1270294;3.855;0;28.66748571;17.34982857;23.00865714;131.1434;10;5.79505;10.41496739;318.5021;53;1.642333333;5.105248333;283.446;-91.10615866;-76.25319568;1518.90985;706.1386502;215;32
2005;38560;27;7;3593;43.98168;10.53845;1721;inf;26962.03516;154.1270294;0;0;25.53617143;16.29228571;20.91422857;120.8103;10;5.79505;10.41496739;318.5021;53;1.642333333;5.105248333;283.446;-68.14447471;-60.64784289;1395.7673;611.5951611;208;32
2005;38553;20;7;3593;43.98168;10.53845;1721;no;26962.03516;154.1270294;0;0;25.56732857;16.12281429;20.84507143;117.4942;10;5.79505;10.41496739;318.5021;53;1.642333333;5.105248333;283.446;-40.02353944;-58.09870181;1282.9727;526.7305611;201;32
2005;38546;13;7;3593;43.98168;10.53845;1721;no;26962.03516;154.1270294;0;0;22.6527;14.10032857;18.37651429;111.7886;10;5.79505;10.41496739;318.5021;53;1.642333333;5.105248333;283.446;-13.81489309;-47.56330493;1170.47435;442.1622111;194;32
2005;38586;22;8;3590;43.99189;10.20705;1384;inf;4987.374512;66.96112823;0;0.1118;22.37538571;16.69401429;19.5347;138.0956;4;8.45848587;11.18816522;281.8239;11;5.1618175;7.306764167;333.8672;-56.09337571;-32.26541769;1927.5167;942.9337;234;32
2005;38580;16;8;3590;43.99189;10.20705;1384;inf;4987.374512;66.96112823;0;0.1118;23.02238571;18.28652857;20.65445714;102.2176;4;8.45848587;11.18816522;281.8239;11;5.1618175;7.306764167;333.8672;-75.68561791;-50.32647562;1841.8145;881.1715;228;32
